Date,Name,Year,Letterboxd URI,Rating
2023-08-23,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4.5
2023-08-23,Baby Driver,2017,https://boxd.it/bhF2,3.5
2023-08-28,Barbie,2023,https://boxd.it/bCLK,4.5
2023-09-02,Juno,2007,https://boxd.it/210a,3.5
2023-09-11,The Princess and the Frog,2009,https://boxd.it/1WQq,4.5
2023-09-18,The Lego Batman Movie,2017,https://boxd.it/azp0,4
2023-09-24,Vertigo,1958,https://boxd.it/2apI,4
2023-09-24,The Devil Wears Prada,2006,https://boxd.it/2awE,5
2023-09-30,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2023-10-01,Superbad,2007,https://boxd.it/20hO,3.5
2023-10-02,Us,2019,https://boxd.it/gnV6,5
2023-10-02,Get Out,2017,https://boxd.it/eOCm,3.5
2023-10-13,Blade Runner,1982,https://boxd.it/2bcA,4.5
2023-10-13,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2023-10-14,The House,2022,https://boxd.it/yVza,1.5
2023-10-15,Night at the Museum,2006,https://boxd.it/28wi,3.5
2023-10-16,Aladdin,1992,https://boxd.it/29yE,3
2023-10-17,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,4
2023-10-20,Dune,2021,https://boxd.it/fA7G,4.5
2023-10-20,Monster House,2006,https://boxd.it/1Z2e,2.5
2023-10-22,Barbarian,2022,https://boxd.it/yohi,3
2023-10-22,Saw,2004,https://boxd.it/2aWW,2.5
2023-10-23,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4.5
2023-10-25,Poison,2023,https://boxd.it/Is7Q,4
2023-10-25,The Rat Catcher,2023,https://boxd.it/Is8a,4
2023-10-25,The Swan,2023,https://boxd.it/Is80,3.5
2023-10-29,Beetlejuice,1988,https://boxd.it/24QI,3
2023-10-30,Ghostbusters,1984,https://boxd.it/g2w,2
2023-10-31,The Fall of the House of Usher,2023,https://boxd.it/IWYg,4.5
2023-11-01,Grease,1978,https://boxd.it/29YW,2
2023-11-01,Saturday Night Fever,1977,https://boxd.it/1URQ,3
2023-11-01,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2023-11-01,Zootopia,2016,https://boxd.it/84xS,3
